sample_id,array_weight
CR10_T1,0.4388
CR10_T2,1.5777
CR12_T1,1.0905
CR12_T2,2.5007
CR149_T1,1.3591
CR149_T2,1.2297
CR15_T1,0.2419
CR163_T1,0.8843
CR163_T2,0.6679
CR17_T1,2.8169
CR17_T2,2.0144
CR18_T1,1.1218
CR18_T2,1.1262
CR22_T1,0.5793
CR22_T2,2.1825
CR23_T1,0.219
CR25_T1,1.1912
CR25_T2,1.6135
CR383_T1,0.9332
CR386_T1,0.1067
CR386_T2,0.857
CR6_T1,1.1052
CR6_T2,0.765
CR7_T1,0.1393
CR7_T2,1.5607
CR72_T1,2.7591
CR72_T2,0.6107
CR8_T1,0.6196
CR8_T2,0.4126
CR9_T2,0.2102
PPS2,1.1389
PPS20,1.7111
PPS28,1.4276
PPS31,2.2923
PPS32,1.8283
PPS37,3.3439
PPS40,1.5899
PPS41,1.4693
PPS42,2.4102
PPS44,1.866
